a-u-ma tryakṣaraṃ saṃkhyaṃ | JñS_26.11s-c
tad idaṃ janmarahasyam | JñS_19.02s-c
tad eva svargyam āyanam | VpT_21s-d
tad eva hi sarvaṃ vyāpi | JñS_25.01s-c
tad dhyānam iti kathyate | JñS_15.03s-d
tad dhyānam iti kathyate | GpT_05s-d
tad dhyānam iti kathyate | VpT_55s-d
tad dhruvaṃ cittakāryataḥ | VpT_24s-d
tad vairāgyaṃ samākhyātaṃ | VpT_27s-c
tadaiśvaryaṃ vipaścitā | VpT_28s-d
taddhi bhāvasamanvitam | VpT_03s-c
tadviddhi munipuṅgava | MJ_35s-d
tanmātram iti kathyate | JñS_11.03s-d
tapaḥsatyaś ca saptadhā | JñS_26.05s-d
tapasā tena vṛddho 'yam | JñS_27.02s-c
tapolokaś ca vadane | JñS_26.07s-c
tamo guru varaṇakam | VpT_15s-c
tayor asad vyaktaṃ sac ca | MJ_80s-c
taruṇo 'pi varānane | JñS_27.01s-b
tarkaḥ sauhṛdam eva ca | VpT_33s-b
tarkayogo 'bhidhīyate | JñS_15.06s-d
tarkayogo vidhīyate | GpT_08s-d
tarkaś caiva samādhiś ca | VpT_53s-c
tarkaś caiva samādhis tu | GpT_03s-c
tarkaś caiva samādhis tu | JñS_15.01s-c
talograsta vivarjayet | JñS_25.19s-d
tavehantu vadan mandaḥ | MJ_58s-a
tasmin sthitaṃ tribhuvane pratyakṣacūtabimbam | MJ_17s-b
*tasmai mayā samudāhṛtam | MJ_01s-d
tālaṃ caiva sutālaṃ ca | JñS_24.03s-a
tālākhyaṃ tālukaṃ jñeyaṃ | JñS_24.07s-c
tāluka induvarṇṇābhaṃ | MJ_36s-c
tāluṣṭhas tālurāvaṇe | JñS_12.25s-b
tālusaṃsthas tu vijñeyas | JñS_11.19s-a
tiktaṃ kṛṣṇaṃ dhruvaṃ bhavet | JñS_16.01s-b
tiktaṃ kṛṣṇaṃ bhṛśaṃ bhavet | MJ_20s-b
tiktakaṃ liṅgaṃ eva ca | GpT_18s-b
tiktakaṃ liṅgaṃ eva ca | JñS_16.09s-b
tiktakam īśvaro jñeyaḥ | MJ_55s-a
tiktam īśvara eva va | MJ_56s-b
tiktam eva mahādevo | MJ_54s-a
tiktam evam udāhṛtam | GpT_20s-b
tiktam evarudāhṛtaṃ | JñS_16.11s-b
*tiktamevam avacahata | MJ_58s-b
tiktā kṛṣṇā dhruvaṃ bhavet | GpT_10s-b
tiryag ūrdhvam adhaḥsthaṃ ca | JñS_25.04s-a
tiryagbhāvaś ca mānuṣam | VpT_16s-b
tiṣṭhamāno maheśvaraḥ | VpT_01s-b
turyaturyāntam eva ca | JñS_10.08s-b
turyabhoktā jagadartha | JñS_10.13s-c
turyāntaṣ ca paro bhoktā | JñS_10.14s-c
tūryaṃ sūkṣmam acintyam avyayam idaṃ nirvāṇam āhur budhā | VpT_47s-d
tūryyaṃ sphaṭikasannibham | MJ_44s-d
tūryyapado maheśvaraḥ | MJ_46s-d
tūryyam eva suṣuptaṃ ca | MJ_30s-c
tūryyasya ceśānaḥ prokto | MJ_52s-a
tūryyāntaṃ rūpyasaṃkāśāṃ | MJ_45s-a
tūryyāntasya nidaśarśanam | MJ_55s-d
tūryyāntasya mahādevo | MJ_47s-a
tūryyānte śiva ityukta | MJ_53s-a
tūlaval laghudehaḥ syāt | VpT_68s-c
tṛtīyam yakāralopo | GpT_35s-a
tṛtīyam yakāro lopyo | JñS_18.08s-a
tṛṣṇādoṣakṣayāc caiva | VpT_52s-c
tejas tathā ca mārutaḥ | VpT_62s-b
tena jñānena vṛddhaḥ syāt | JñS_27.01s-c
tena jñānena he skanda | JñS_27.03s-c
tena śīlena vṛddhaḥ syāt | JñS_27.02s-a
teṣu trikoṇaṃ paramaṃ pravicāryya yuktaṃ | MJ_17s-c
tyajati jñānam uttamam | JñS_27.05s-b
tyajej jñānatamomayam | JñS_08.08s-d
tyajet śaktiśubhāśubham | JñS_08.08s-b
tyajet śūnyaṃ nirākāraṃ | JñS_08.08s-a
tyajed dharmaṃ vādharmaṃ vā | JñS_08.08s-c
trayo 'gnināma ity api | JñS_25.09s-d
trayo duḥkhavighātāś ca | VpT_33s-c
trikoṇaṃ bhuvanatrayam | MJ_33s-b
triguṇamūḍhakañ cittaṃ | VpT_22s-a
trināḍīṣu vyāpāras tu | JñS_12.23s-c
trināḍyaḥ pradhānātmakāḥ | JñS_12.19s-d
trinetras triśūlahastaḥ | MJ_51s-c
tripadaṃ puṇḍarīkasya | MJ_19s-a
tripadaṃ puṇḍarīkasya | MJ_31s-a
tripadaṃ maṇḍalatrayaṃ | MJ_33s-a
tripramāṇena vā viduḥ | MJ_32s-b
trirūpaṃ trividhaṃ bhasma | JñS_25.11s-a
trividhā sādhakasmṛtam | JñS_11.14s-d
triviṣṭapopajīvanam | GpT_58s-d
triśakti etad ucyate | JñS_11.05s-d
triśaktibrahmakaṃ bhavet | JñS_11.02s-b
triśivaṃ tripuruṣatvam | GpT_02s-c
triśivas tripuruṣatvam | JñS_14.01s-c
tretāṃ svapnapadaṃ viduḥ | MJ_40s-b
trailokyam iti saṃjñitam | JñS_26.06s-d
tryakṣaraṃ ca padaṃ yuktam | MJ_25s-a
*tryakṣaraṃ caiva lopyam | JñS_18.08s-c
tryakṣaraṃ praṇavaḥ smṛtam | JñS_26.11s-d
tryaṅgulir nyakpramāṇena | MJ_32s-c
tryantaḥkaraṇam ucyate | JñS_11.14s-f
tryanto mantrī prakīrtitaḥ | VpT_35s-b
tryavastaḥ puruṣaḥ smṛtaḥ | JñS_19.04s-d
tryavastah puruṣah smṛtaḥ | GpT_43s-b
tvaṃ ma ākhyā hi tattvataḥ | VpT_51s-d
tvayakasmatva malatva | VpT_22s-c
tvām etacchrotum icchāmi | VpT_05s-c
*dakāraś ca hy upasthe | JñS_26.08s-c
dakṣiṇe vā caturmukhaḥ | GpT_21s-b
dakṣiṇe vā caturmukhaḥ | JñS_16.12s-b
dakṣiṇe vāmake tathā | JñS_25.20s-d
dakṣināgniś ca jaṭhare | JñS_25.09s-c
dadhi māṃsaṃ tathā ma-air | JñS_24.06s-c
darppaṇe ca yā māyaiva | MJ_54s-c
darśanaṃ yugapac caiva | JñS_11.11s-c
daśa nāḍir iti smṛtaḥ | JñS_11.07s-b
daśa prāṇavahā etāḥ | VpT_39s-a
daśa prāṇā samākhyātāḥ | VpT_40s-c
daśamūrtidaśanādi | JñS_11.02s-a
daśaśaktisamanvitaḥ | JñS_12.06s-d
daśākṣarasamāsaṃ tu | JñS_26.10s-c
daśendriyāṇi kūrmmāś ca | MJ_11s-c
daśendriyāṇi rāṣṭraṃ hi | MJ_08s-a
daśendriyāṇi suptāni | MJ_03s-a
dānam adhyayanaṃ śabdas | VpT_33s-a
divyarūpaś caturbhujaḥ | MJ_50s-b
divyarūpaś caturmmukhaḥ | MJ_49s-b
divyena śiva vaktreṇa | JñS_25.08s-c
diśeṣu vidiśeṣu ca | JñS_25.04s-b
dīkṣāvidhividhānakam | JñS_01.01s-b
dīkṣāvidhividhānataḥ | GpT_50s-b
dīpavat nava śaktyarthaṃ | JñS_12.02s-c
dīrghāyuṣam avāpnoti | GpT_56s-c
dīrghe kāle ca vā punaḥ | VpT_31s-c
duḥkhāntaṃ bhasmano nityaṃ | JñS_25.14s-c
dṛśyate jñānacakṣuṣā | JñS_08.04s-d
dṛṣṭānuśrāvite bhoge | VpT_27s-a
devaḥ sakalaniṣkalaḥ | JñS_09.03s-b
devagaṇaguruṃ putram | GpT_59s-b
devagaṇaguruḥ putraḥ | GpT_01s-c
devatā tu sadāśivaḥ | JñS_12.18s-b
devatā rudrarucyate | JñS_12.22s-d
devadatta iti sthitaḥ | JñS_12.28s-b
devadattadhanañjayaḥ | JñS_12.07s-d
devadatto dhanañjayaḥ | VpT_40s-b
devadatto vijṛmbhite | VpT_46s-d
devapratiṣṭhāgrahaṇaṃ pratiṣṭha | JñS_22.02s-a
devamārgapradarśanī | JñS_11.16s-d
devayoniṣu jāyate | VpT_31s-d
devayoniṣu jāyate | VpT_32s-d
devayoniṣu jāyate | VpT_29s-b
devānukūlabhaktyartham | VpT_72s-c
dehaṃ tyaktvā samārutaḥ | JñS_25.06s-b
dehena yātum icchā syād | VpT_74s-a
ddakṣiṇe ca caturmmukhaḥ | MJ_59s-b
dyutiś ca vā mahādevaḥ | MJ_83s-c
draṣṭā spraṣṭā tu śrotā ca | VpT_63s-b
draṣṭātmā byānabāyuṣṭhaṃ | JñS_12.11s-c
draṣṭātmā śūnyasaṃjñikaḥ | JñS_12.13s-d
drenavaś cendriyāṇyeva | MJ_05s-c
dvādaśāṅgulasaṃsthānād | GpT_48s-a
dvādaśāṅgulasaṃsthānād | JñS_20.04s-a
dvāparaṃ ca suṣuptaṃ nu | MJ_40s-c
dvāraṃ muhurtaṃ ca na siddhakāryam | JñS_22.03s-a
dvārāntare māsadivasayuktam | JñS_22.03s-d
dvāsaptativihāgas tu | JñS_12.19s-c
dvitīyaṃ śi-va lopyāś ca | JñS_18.07s-c
dvitīyaṃ śivalopāś ca | GpT_34s-c
dvidhām upāgato jñeyaḥ | JñS_11.21s-c
dvipānaś caiva brahmāṅgaṃ | JñS_12.01s-c
dvividhaṃ tattvaṃ paramaṃ | VpT_06s-a
dve hale daśa dhenavaḥ | MJ_04s-b
dvau harau dvau ca brāhmaṇau | MJ_06s-b
dhakāro hastadakṣiṇe | JñS_26.08s-d
dharaṇī ca bhavettoyaṃ | VpT_62s-a
dhartātmā haṃśavarṇake | JñS_12.12s-d
dharmasyaiko vinirṇayaḥ | VpT_25s-d
dharmātmā vratasaṃpaṇṇo | GpT_42s-c
dharmātmā vratasaṃpaṇṇo | JñS_19.04s-a
dharmma tenecchati śubham | VpT_21s-b
dharmmādharmmau tathā dharā | MJ_15s-c
dharmmo 'dharmmaś ca dvau harau | MJ_07s-c
dhāraṇaṃ vai nigadyate | VpT_57s-d
dhāraṇam iti kathyate | JñS_15.05s-d
dhāraṇam iti kathyate | GpT_07s-d
dhūmrā eva tathā dhruvā | JñS_11.17s-d
dhṛtam oṃkāram eva ca | MJ_79s-b
dhyānāditraye samyamaḥ | JñS_19.07s-d
dhruvaṃ avyayam īśvaram | VpT_07s-d
na ca śvetena jātibhiḥ | JñS_27.04s-b
na tayena ca nirbhāvam | JñS_08.06s-b
na tiryagūrdhvagamanaḥ | GpT_49s-b
na tiryagūrdhvagamanam | JñS_21.01s-b
na dīrghaḥ nāśubhaḥ keśo | JñS_27.04s-a
na dūraṃ na samīpasthaṃ | JñS_08.04s-a
na prakāśati tattvavit | JñS_27.08s-b
na bhave viśate punaḥ | VpT_30s-d
na ma śi va ya līnaṃ tu | GpT_33s-c
na mūlānte ca madhyame | JñS_08.04s-b
na yogī moganiḥspṛhaḥ | VpT_27s-d
na vakṣye 'haṃ sureśvari | JñS_26.04s-b
na śarīraṃ nirājñānam | JñS_08.05s-b
na śīlo na vayastapaḥ | JñS_27.01s-d
na saṃdeho varānane | JñS_27.07s-b
na-ma-śi-va-ya ca sthitiḥ | JñS_18.06s-b
nakāro mukha eva ca | JñS_26.09s-b
nadītīrthaṃ ca saptadhā | JñS_24.01s-d
nadīśreṣṭhā vā cakṣuṣi | JñS_24.05s-b
nadyāṃ jvalati pāvakaḥ | MJ_09s-b
narmadā caiva sindhuś ca | JñS_24.01s-a
navatiṃśati vibhāgāḥ | JñS_12.28s-d
nākāśam eva tattvataḥ | GpT_08s-b
nākāśam eva tattvataḥ | JñS_15.06s-b
nāgaḥ kūrmo 'tha kṛkaro | VpT_40s-a
nāgakūrmārakṛkaro | JñS_12.07s-c
*nāge tu ūrdhvagato bāyus | JñS_12.25s-a
nāḍayaś caturviṃśakāḥ | JñS_11.13s-d
nāḍī ca calanaṃ bhavet | JñS_20.02s-d
nāḍī ca calanaṃ bhavet | GpT_46s-d
nāḍīcalanaḥ saṃsmṛtaḥ | JñS_20.03s-b
nāḍīcalanamārgaś ca | GpT_45s-a
nāḍīcalanamārgaś ca | JñS_20.01s-a
nāḍīcalanasaṃsmṛtaṃ | GpT_47s-b
nāḍīnāṃ cāgamāṃs tathā | VpT_38s-d
nāḍīnāṃ tryadhikāḥ śṛṇu | VpT_36s-b
nādamūrtinirākṛtiḥ | JñS_10.16s-d
nādaś ca līyate śūnye | GpT_52s-a
nādaś ca līyate śūnye | JñS_03.02s-a
nādaś ca līyate śūnye | JñS_17.04s-a
nādas tu saptadhā sṃṛtāḥ | JñS_10.06s-d
nādād bindusamudbhāvaḥ | GpT_25s-b
nādād vindusamudbhāvaḥ | JñS_17.01s-b
nādena saṃhṛtyaikadhā | GpT_26s-c
nādhaś ca gamanaṃ cāpi | JñS_21.01s-c
nādhastādgamanaś cāpi | GpT_49s-c
nābhimūle bhavej jāgrat | MJ_41s-a
nābhir hṛt kaṇṭhaḥ tāluś ca | JñS_07.01s-a
nābhihṛdaye kaṇṭhe ca | JñS_10.07s-a
nābhau nābher adhaḥ kande | VpT_36s-c
nābhau hṛdaye kaṇṭhe ca | MJ_71s-c
nāmnā śivapadaṃ tathā | MJ_47s-b
nāvāsya kiṃ prayojanam | MJ_74s-d
nāsaś cāirāvatī caiva | JñS_24.05s-a
nāsaś caiva tu pañcamaḥ | JñS_07.01s-b
nāsāntaḥ sphaṭikaprabhaṃ | MJ_36s-d
nāsti jñānam ataḥ param | JñS_25.07s-d
nāsti jñānam ataḥ param | JñS_25.08s-d
niḥśabdaṃ tarkayen nityaṃ | VpT_58s-c
niḥśeṣānte mahātmanaḥ | JñS_19.03s-b
niḥśoka iva candramāḥ | MJ_76s-d
niḥspṛhaṃ śāntam avyayam | VpT_59s-b
nikhiladravyasamprāptyai | VpT_70s-c
nitālaṃ ca tad eva ca | JñS_24.03s-b
nitālaṃ mānasaṃ jñeyam | JñS_24.08s-a
nityaṃ smaranti māmanye | MJ_29s-c
nityatṛpto virāgataḥ | MJ_52s-b
nityākāreṇa śūnyatvam | VpT_09s-c
nityānityaṃ vivarjayet | JñS_08.07s-b
nidrā hiṃsā pramāditā | VpT_19s-b
*nidrāparaṃ suaṃmūḍham | VpT_24s-b
niyamāḥ parikīrtitāḥ | VpT_61s-d
niyoktā ca pravartakaḥ | JñS_12.09s-b
niyoktā vaśādhiṣṭhitaḥ | JñS_12.13s-b
nirakṣaraṃ bhaven nityaṃ | MJ_67s-a
niravaraṇaṃ niḥsādhyaṃ | JñS_15.07s-c
nirātmā ity eva tathā | JñS_13.02s-c
*nirālambaṃ niḥspṛham | GpT_09s-b
nirālambananiḥspṛhaṃ | JñS_15.07s-b
nirāvaraṇaṃ niḥsādhyaṃ | GpT_09s-c
nirāhāraśca nīrājo | MJ_52s-c
nirupekṣaṃ niḥkalpanaṃ | JñS_15.07s-a
nirupekṣaṃ nirlakṣaṇaṃ | GpT_09s-a
nirūpekṣaṃ nirākālpaṃ | VpT_59s-a
nirgguṇaṃ sarvvabhūtānāṃ | MJ_75s-a
nirghṛṇatvaṃ pramāditā | VpT_18s-d
nirdvandvaṃ nirvikāraṃ ca | JñS_15.03s-a
nirdvandvaṃ nirvikārañ ca | GpT_05s-a
nirdvandvaṃ nirvikārañ ca | VpT_55s-a
nirbāṇaṃ sulabhaṃ caret | JñS_19.02s-b
nirbbījaṃ janmanāśanam | MJ_65s-d
nirlepam antaropamam | VpT_20s-b
nirvāṇaṃ sulabhaṃ caret | GpT_41s-b
nirvyāpāraḥ parambrahma | JñS_10.16s-c
nivṛttiś ca pratiṣṭhā ca | JñS_09.04s-a
nivṛttiś ca pratiṣṭhā ca | JñS_09.08s-a
nivṛttiś ca pratiṣṭhā ca | JñS_11.22s-c
niśāntam acalaṃ tathā | VpT_55s-b
niścitaṃ mokṣakāraṇam | JñS_08.01s-d
niṣaktam acalaṃ tathā | JñS_15.03s-b
niṣkalāj jāyate nādo | GpT_25s-a
niṣkalāj jāyate nādo | JñS_17.01s-a
niṣkalātmā ca nirmalaḥ | JñS_10.15s-b
niṣkalāntam alakṣaṇam | VpT_48s-d
niṣkalāntād vijānīyāt | JñS_25.06s-c
niṣkalo vaṣādhisthitaḥ | JñS_12.14s-b
nissaktam acalaṃ tathā | GpT_05s-b
nissatvaṃ caiva niṣkalam | MJ_67s-b
nīrūpaḥ sarvvabhāveṣu | MJ_67s-c
pakṣibhūtaḥ sadāśivaḥ | JñS_23.02s-d
pakṣīndraḥ paramaśivaḥ | JñS_23.03s-d
paṅcātmā pañcākṣaraś ca | JñS_13.01s-b
pañca karmendriyāni ca | JñS_11.08s-d
pañca buddhindriyāni ca | JñS_11.08s-b
pañcakālaḥ śivaḥ proktaḥ | JñS_09.07s-a
pañcakālaḥ sa ucyate | JñS_09.05s-d
pañcakṣaram iti smṛtam | JñS_18.06s-d
pañcakṣaram iti smṛtam | GpT_33s-d
pañcapadadhanaṃ prati | JñS_27.08s-d
pañcabāyur iti jñeyaḥ | JñS_13.01s-a
pañcabhūtam iti smṛtam | JñS_11.03s-b
pañcaviṃśati dvibhāgāḥ | JñS_12.23s-d
pañcaviṃśadvibhāgas tu | JñS_12.21s-c
pañcaśaktivyavasthitaḥ | JñS_09.02s-b
pañcaśaktisamāyukta | JñS_11.07s-c
pañcāṇḍaṃ japed yo vidvān | GpT_55s-c
patitaḥ nīcalakṣaṇaḥ | JñS_27.02s-d
patitaḥ nīcalakṣaṇaḥ | JñS_27.02s-b
padaṃ jāgrat tu bramaṇaḥ | MJ_46s-a
padaṃ jāgrad idaṃ vāme | MJ_31s-c
padaṃ svapnasya dakṣiṇe | MJ_31s-b
padmaṃ turyanagampatam | JñS_11.22s-b
padmanāpuṣpucitta īśvare ko | MJ_18s-c
padmanālaṃ hṛdi sthitaṃ | MJ_34s-a
padmanālasya hṛdaye | MJ_35s-a
panthāḥ prakṛtir ucyate | MJ_15s-d
paraṃ kaivalyaṃ śāntidam | MJ_45s-d
paraṃ kaivalyaṃ śāntidam | MJ_47s-d
paraṃ kaivalyam ucyate | JñS_16.14s-d
paraṃ kaivalyam ucyate | GpT_23s-d
paraṃ kaivalyam ucyate | MJ_62s-d
paraṃ cittavirahitaṃ | JñS_08.03s-c
paraṃ tatkāryyam eteṣām | MJ_29s-d
paraṃ niṣkalaṃ śūnyaṃ ca | GpT_53s-c
paraṃ niṣkalaśūnyaṃ ca | JñS_03.03s-c
paratra śivatāṃ vrajet | JñS_27.06s-f
parabhoktā dhanañjaye | JñS_12.11s-d
paramasya mi saṃsmṛtaḥ | GpT_47s-d
paramasyāpi saṃsmṛtaḥ | JñS_20.03s-d
paramasvargakāraṇam | JñS_18.10s-d
paramasvargakāraṇam | GpT_37s-d
paramasvargamanyatam | JñS_18.11s-d
*paramasvargamayaṃ matam | GpT_38s-d
*paramātmanaś ca kaivalyaṃ | MJ_47s-c
paramātmā tathā rudraḥ | MJ_69s-c
paramātmā tathaiva ca | MJ_68s-b
paramātmā nirātmakam | JñS_10.04s-b
paramārthaṃ tu niḥśabdaṃ | GpT_08s-c
paramārthāt tu niḥśabdaṃ | JñS_15.06s-c
paramonāpi tad dhruvaṃ | JñS_08.06s-c
*paraliṅgaṃ procyate budhaiḥ | MJ_22s-d
paraliṅgāni ye kuryur | GpT_17s-a
paraliṅgāni ye kuryur | JñS_16.08s-a
paraliṅgāni yo 'rccayed | MJ_28s-a
parasvarga udīryate | GpT_39s-d
*parāni rogāṇi mūrcchantaṃ | GpT_58s-c
parāparo vibhāgena | JñS_09.01s-c
paribhogeṣu vā punaḥ | VpT_28s-b
paścāt paramakaivalyaṃ | GpT_50s-c
paścāt paramakaivalyaṃ | JñS_01.01s-c
pāṇideśe ca mūrdhni tu | JñS_10.07s-c
pāṇideśe sadāśarvo | JñS_10.15s-a
pāṇau rūpyābhaṃ vijñeyaṃ | MJ_37s-c
pāṇyādyupasthaparyantaṃ | JñS_11.08s-c
pātālaṃ narakaṃ smṛtam | JñS_24.09s-d
pātālaṃ saptadhā smṛtāḥ | JñS_24.03s-d
pādayor gagane yathā | JñS_11.01s-d
pādādinābhiparyante | JñS_11.06s-a
pādau vidyā tanuḥkarā | JñS_09.08s-b
pāparāśiṃ susañcitam | VpT_65s-b
pāyudvāraś ca patālaṃ | JñS_24.09s-c
piṇḍitaḥ pañcaviṃśati | JñS_11.21s-d
pitṛmārgānugā nāḍī | JñS_11.16s-c
pidhāya sarvadvārāṇi | GpT_06s-a
pidhāya sarvadvārāṇi | VpT_56s-a
pidhitvā sarvadvāraṇī | JñS_15.04s-a
pītaṃ ca sūryasannibhaṃ | JñS_10.09s-b
pītaṃ bhakṣyaṃ dhṛtaṃ dadyād | VpT_43s-a
pītavarṇo nirātmakaḥ | JñS_10.13s-b
pītāvāruṇī eva ca | JñS_11.09s-d
puṇḍarīkaḥ suṣuptaṃ ca | MJ_48s-c
punaḥ pañcavidho vinduḥ | JñS_09.02s-a
punar vakṣyāmi he devi | JñS_26.11s-a
punarbhavar iti smṛtaḥ | JñS_20.01s-b
punarbhāva iti smṛtaḥ | GpT_45s-b
*puruṣaṃ ca pitaraṃ viduḥ | MJ_07s-b
*puruṣaḥ sthito nāgavati | MJ_64s-b
puruṣam avyaktaṃ viduḥ | MJ_80s-d
puruṣaś ca pradhānaṃ ca | JñS_11.21s-a
puruṣaś caiva sārathiḥ | MJ_15s-b
puruṣasya tryavasthānaṃ | JñS_19.07s-a
puruṣo bhasmasaṃsthitaḥ | JñS_25.15s-b
puruṣo vṛṣabhopamaḥ | TJ_27s-b
puruṣo vṛṣabhopamaḥ | VpT_34s-b
puruṣyapṛtenaṃtasaṃ | MJ_27s-a
puruṣyasyantaripuhaṃ | MJ_27s-c
pūrvam āsīd gurutvaṃ yat | VpT_68s-a
pūrvvāhhne jāgrad ityuktaṃ | MJ_43s-a
pūṣā caiva yaśā tathā | VpT_37s-d
pṛthivyambunī jīryyataḥ | MJ_03s-d
pṛthvītvaṃ raktavarṇam tu | JñS_11.06s-c
*pṛthvyādigaganāntaṃ | JñS_11.03s-a
prakāśayati saṃsāre | JñS_27.08s-c
prakṛtiṃ cāśrayed ātmā | GpT_29s-a
prakṛtiṃ cāśrayed ātmā | JñS_18.02s-a
*prakṛtir līyata ātmani | GpT_30s-c
prakṛtes tu ravir jāto | GpT_28s-c
prakṛtes tu ravir jāto | JñS_18.01s-c
praṇavaṃ piṇḍitaṃ smṛtam | JñS_26.17s-d
praṇavatryakṣaraṃ smṛtam | JñS_26.10s-d
praṇavauṅkāraś ca śivaḥ | JñS_26.12s-d
praṇālo brahmā viṣṇuś ca | JñS_25.18s-a
pratyakṣam anumānañ ca | VpT_26s-a
pratyāhāras tathā dhyānaṃ | GpT_03s-a
pratyāhāras tathā dhyānaṃ | JñS_15.01s-a
pratyāhāras tathā dhyānaṃ | VpT_53s-a
pratyāhāro nigadyate | JñS_15.02s-d
pratyāhāro nigadyate | GpT_04s-d
pratyāhāro nigadyate | VpT_54s-d
prathamaṃ ca na-ma lopyā | JñS_18.07s-a
prathamaṃ ca namo lopo | GpT_34s-a
pradīpavatmṛtyoko 'sti | JñS_12.18s-c
pradhānaṃ prāsādetyuktaṃ | VpT_35s-a
pradhānā nāḍyaḥ saṃsmṛtāḥ | VpT_39s-b
prabhuśakti gāyatrī syāt | JñS_12.05s-c
pramāṇaṃ trividhaṃ proktaṃ | VpT_26s-c
*prayoktam eva vāyena draṣṭā | JñS_12.09s-c
prayoktā vikṛte vindau | JñS_12.13s-a
prayoktodānanāgayoḥ | JñS_12.11s-b
pralinatvāc cittamokṣaḥ | GpT_43s-c
pralīṇaṃ ca prakīrtitam | JñS_26.16s-d
pralīnaṃ ca nigadyate | JñS_26.16s-b
*pravakṣyāmi adhunā vīra | JñS_19.03s-a
pravakṣyāmy adhunā vīra | VpT_38s-c
pravartī syāt prakopano | VpT_45s-c
pravodhanī mohanī ca | JñS_11.23s-d
pravrajyā bhikṣā hy eva ca | VpT_25s-b
praśāntaṃ dīpavac chuddaṃ | JñS_21.02s-a
prākāmyaṃ samudāhṛtam | VpT_71s-d
prākāmyañ ca hīśitvañ ca | VpT_66s-c
prāṇadā prānavardhanī | JñS_11.17s-b
prāṇas tu dvādaśavindau | JñS_12.15s-a
prāṇāyāmaś ca dhāraṇam | VpT_53s-b
prāṇāyāmo 'tha dhāraṇaṃ | GpT_03s-b
prāṇāyāmo 'tha dhāraṇaṃ | JñS_15.01s-b
prāṇāyāmo nigadyate | JñS_15.04s-d
prāṇāyāmo nigadyate | VpT_56s-d
prāṇāyāmo nigadyate | GpT_06s-d
prāṇāṣṭau sarvvabhūtānāṃ | MJ_14s-c
prāṇe ca devadatte ca | JñS_12.10s-a
prāṇo 'pānaḥ samānaś ca | VpT_39s-c
prānāpaṇaḥ samānaś ca | JñS_13.01s-c
prānāpānaḥ samānaś ca | JñS_12.07s-a
prāptaṃ syāt tu yadātmanā | VpT_71s-b
prāptirnāmātra sarvataḥ | VpT_70s-d
prāpyate kāraṇatrayāt | VpT_52s-d
protañ ca maṇisūtravat | VpT_14s-d
phaṭkārākāśasaṃyukto | GpT_55s-a
phalaṃ kiṃcit prāpnuyus te | MJ_28s-d
bandhām abandhāṃ ca proktā | JñS_11.18s-c
balapramathanī smṛtāḥ | JñS_12.04s-d
balavikiraṇī caiva | JñS_12.04s-c
bāmī jyeṣṭhī tathā raudrī | JñS_12.04s-a
bāyuṃ vāhyaṃ prayacchati | JñS_15.04s-b
bindur nāde pralīyate | GpT_51s-d
binduś ca līyate nāda | GpT_27s-c
bindoś candrasamudbhavaś | GpT_25s-c
bindau ca vedyaṃ nanu cāṣṭayuktam | MJ_18s-a
buddhiḥ sindhus tathaiva ca | JñS_24.04s-b
buddhir ahaṅkāro manaḥ | JñS_26.15s-c
buddhir brahmā prakīrtitaḥ | MJ_72s-b
buddhir mmanaś ca brāhmaṇau | MJ_07s-d
buddhir viṣṇus tathaiva ca | JñS_26.13s-b
byānas tu sarvasaṃdhiṣu | JñS_12.23s-a
*bramaviṣṇvendrasūrya | VpT_72s-a
brahmacārī ca paṇḍitaḥ | MJ_49s-d
brahmadvāram udāhṛtam | MJ_38s-b
brahmanā bhasma saṃsthāpyaṃ | JñS_25.15s-c
brahmaviṣṇvīśvaro jñeyo | JñS_10.05s-a
brahmā viṣṇuḥ śivaś caiva | JñS_26.14s-c
brahmā viṣṇuś ca tāv ubhau | JñS_16.12s-d
brahmā viṣṇuś ca dvāvubhau | MJ_59s-d
brahmāṅgaṃ sūkṣmatattvaṃ hi | JñS_12.02s-a
brahmāṅgam iti kathyate | JñS_12.05s-d
brahmādhidevaḥ saṃsthitaḥ | JñS_11.06s-b
bhaktaṃ tu jagati loke | GpT_57s-c
bhakṣyābhakṣyāṇi bhāminā | JñS_25.08s-b
bhagavan deva devānām | VpT_02s-a
bhagavan sarvatattvakam | VpT_05s-d
bhagavan sarvatattvajña | VpT_05s-a
bhagnibhajesthāna pado ca habhamadeśa | MJ_17s-d
bhavantacārīti smṛtaḥ | MJ_53s-d
bhavākṣepaṃ nirvyāpāraṃ | JñS_10.09s-c
bhavet puruṣavigrahaḥ | JñS_09.03s-d
bhavena kathitaṃ mama | JñS_26.17s-b
bhasma śūnyaṃ ca nirmalam | JñS_25.14s-d
bhasmakaṃ jñānatanmayam | JñS_25.14s-b
bhasmakaṃ rūpatanmayam | JñS_25.16s-b
bhasmakaṃ viṣṇutanmayam | JñS_25.15s-d
bhasmanā ekaṃ saṃyuktaṃ | JñS_25.14s-a
bhasmanā ekaṃ saṃbhūtaṃ | JñS_25.16s-c
bhasmanā prakṛtiyogaḥ | JñS_25.15s-a
bhasmano devasaṃbhavaḥ | JñS_25.16s-d
*bhasmabyam jaṭādharo | MJ_49s-c
bhānuś ca candre pralīnaḥ | JñS_18.03s-b
*bhānuś ca liyate prakṛtau | GpT_30s-b
