aṃśaṃ śūdrāsuto haret | Manu_9.151d
kṣetrabhūtā smṛtā nārī | Manu_9.33a
kṣetram anyena kārayet | YajñS_2.158d
kṣetram anye manīṣiṇaḥ | Manu_10.70b
kṣetram ity abhidhīyate | ViS_96.97b
kṣetram ekaṃ dvayor bandhe | BrhS_1.10.44a
kṣetraṃ bījavate deyaṃ | NarS_v12.19c
kṣetrayor ubhayor api | BrhS_1.18.12b
kṣetravāstutaḍāgeṣu | Kāty_734a
kṣetraveśmavanagrāma | YajñS_2.282a
kṣetrasīmāvirodheṣu | NarS_v11.2a
kṣetrasya haraṇe daṇḍā | YajñS_2.155c
kṣetrasyāsya nigadyate | YajñS_3.178b
kṣetrasvāmiṣu nirdiśet | Kāty_760d
kṣetrasvāmī labheta tām | BrhS_1.19.25b
kṣetrahāniḥ prajāyate | BrhS_1.13.28b
kṣetrāṃśaṃ vā yad icchati | Brh_1.26.28b
kṣetrāṃśaṃ vā yadṛcchayā | Brh_1.26.103b
kṣetrādikaṃ yadā bhuktam | BrhS_1.10.67a
kṣetrādīṇāṃ tathaiva syur | Kāty_469a
kṣetrādyupetaṃ paripakvasasyaṃ | BrhS_1.18.18a
kṣetrādhikārā yatra syur | NarS_v11.1c
kṣetrāpaṇagṛhāsaktam | ViS_20.42a
kṣetrārāmagṛhādīnāṃ | Kāty_705c
kṣetrārāmagṛhādīni | BrhS_1.1.160a
kṣetrārāmavivīteṣu | Kāty_664a
kṣetrārāmāś ca lekhitāḥ | BrhS_1.7.32d
kṣetrikaḥ punar āvrajet | Kāty_766b
kṣetrikaḥ punar āvrajet | NarS_v11.21b
kṣetrikasya tu tad bījaṃ | Manu_9.145c
kṣetrikasya matenāpi | Kāty_859a
kṣetrikasya yad ajñātaṃ | NarS_v12.55a
kṣetrikasyeti dhāraṇā | Manu_8.241d
kṣetrikasyaiva tat phalam | NarS_v12.54d
kṣetrikasyaiva tad bījaṃ | Manu_9.54c
kṣetrikasyaiva tad bhavet | NarS_v12.55d
kṣetrikānumataṃ bījaṃ | NarS_v12.58a
kṣetrikeṣv anivāritaḥ | Kāty_765b
kṣetrikeṣv anivāritaḥ | NarS_v11.20b
kṣetriṇāṃ bījināṃ tathā | Manu_9.52b
kṣetriyasyātyaye daṇḍo | Manu_8.243a
kṣetre kālopapādite | Manu_9.36b
kṣetre doṣo na vidyate | YajñS_2.162b
kṣetre bījaṃ pradīyate | NarS_v12.55b
kṣetre yasya prarohati | NarS_v12.56b
kṣetreṣv anyeṣu tu paśuḥ | Manu_8.241a
kṣetre setuṃ pravartayet | YajñS_2.157b
kṣetro 'gnestu susaṃbhūto | Ang_2.12.12c
kṣetropakaraṇaṃ setuṃ | BrhS_1.23.5a
kṣetropakaraṇasya ca | NarS_v14.3b
kṣetropakaraṇena ca | BrhS_1.13.27b
kṣepaḥ pāpena yojanam | BrhS_1.20.2b
kṣepaṃ karoti ced daṇḍyaḥ | YajñS_2.204c
kṣepa uttamasāhasaḥ | YajñS_2.211b
kṣeptā ca sudṛḍhaṃ kṣipet | Kāty_442d
kṣepsyanty agnihradeṣu ca | NarS_v1.199d
kṣoṇyā kṣoṇīm abhāṣata | ViS_1.62d
kṣobhayetām idaṃ jagat | Manu_8.418d
kṣaudre tathā dadhni puraṃdhrigātre | ViS_99.14b
kṣaumaṃ hṛtvā tu darduraḥ | Manu_12.64b
kṣaumakārpāsavāsasām | ParS_7.28b
kṣaumavac chaṅkhaśṛṅgāṇām | Manu_5.121a
kṣaumāṇāṃ gaurasarṣapaiḥ | Manu_5.120d
ksemyāṃ sasyapradāṃ nityaṃ | Manu_7.212a
khaṃ saṃniveśayet kheṣu | Manu_12.120a
khaṅgalohāmiṣaṃ madhu | Manu_3.272b
khañjo vā yadi vā kāṇo | Manu_3.242a
khaṭvāṅgī cīravāsā vā | Manu_11.105a
khaḍgakūrmaśaśāṃs tathā | Manu_5.18b
khaḍgaṃ daśavidhaṃ māṃsaṃ | Ang_1.536c
khaḍgapātraṃ hi kutapo | Ang_1.944a
khaḍgenaudumbareṇa vā | ViS_79.24b
khaḍge śyāmamṛge vṛke | Ang_2.10.15b
khaḍdāmiṣaṃ mahāśalkaṃ | YajñS_1.260a
khadyoto havyavāḍ iva | NarS_m1.63b
khananāccādhikajalā | Ang_1.940c
khananotpannasalilā | Ang_1.940a
khanitvā yāmamātraṃ vā | Ang_1.220c
khanitvaiva vinikṣipya | Ang_1.875a
khanyante ca tadā tadā | Ang_1.934d
khamaṇḍalād asau sūryaḥ | YajñS_3.123a
kharaṃ hatvaikahāyanam | Manu_11.136d
kharagomahiṣoṣṭrādīn | Kāty_789c
kharapulkasavenānāṃ | YajñS_3.207c
kharayānaṃ tu kāmataḥ | Manu_11.201b
kharayānoṣṭrayānagaḥ | YajñS_3.290b
kharājameṣeṣu vṛṣo | YajñS_3.271c
kharāṇi sumahāntyapi | Ang_1.570b
kharāśvasūkarādīnaṃ | YamS-s_2.53c
kharāśvoṣṭramṛgebhānām | Manu_11.68a
kharīṃ ca sūkarīṃ gatvā | ParS_10.14c
khareṇodvahanaṃ tathā | Manu_8.370d
kharoṣṭraṃ mahiṣīsamam | YajñS_2.160d
kharoṣṭrayānahastyaśva | YajñS_1.151a
kharjūrabadarādīnāṃ | Kāty_822-2c
kharvātmakāstā vijñeyās | Ang_1.37a
khalayajñe vivāhe ca | ParS_12.25a
khalāt kṣetrād agārād vā | Manu_11.17a
khalu miśritya vā punaḥ | YamS-s_2.39b
khale vā kaṇa eva vā | Ang_2.8.12b
khaso draviḍa eva ca | Manu_10.22d
khātaṃ vāpī tathā kūpa | YamS-182v_4.1a
khāte ca patitā yā gauḥ | YamS-182v_4.3a
khādakaś ceti ghātakāḥ | Manu_5.51d
khādakaś ceti ghātakāḥ | ViS_51.74d
khādan māṃsaṃ na duṣyati | Manu_5.32d
khādan māṃsaṃ na doṣabhāk | YajñS_1.179d
khādayed vā sārameyaiḥ | BrhS_1.24.17c
khāni caiva spṛśed adbhir | Manu_2.60c
khāny adbhiḥ samupaspṛśet | YajñS_1.20b
khāny ācānta upaspṛśet | Manu_5.138b
khinnaḥ kāryekṣaṇe nṛṇām | Manu_7.141d
khilaṃ tad vatsarais tribhiḥ | NarS_v11.23b
khilād varṣāvasantāc ca | BrhS_1.1.43c
khilārtho yat kṛto vyayaḥ | Kāty_764b
khilopacāraṃ tat sarvaṃ | NarS_v11.21c
kheyo bandhyas tathaiva ca | NarS_v11.15b
khe viddham anuvidhyataḥ | Manu_9.43b
khyātaṃ tacśṛṅgiṇāṃ viṣam | Kāty_446d
khyātim icchati puṣkalām | Manu_12.36b
khyātir viśālā ca tathānasūyā | ViS_99.5c
khyāto mahālayaḥ sadbhiḥ | Ang_1.700a
khyāpanenānutāpena | Manu_11.227a
khyāpayed abhayāni ca | Manu_7.201d
khyāpitaṃ ced dvitīye 'hni | Kāty_272a
khyāpito janasaṃsadi | BrhS_1.1.36b
gaṅgātoyeṣu tiṣṭhati | YamS-99v_91b
gaṅgā toyeṣu yasyāsthi | YamS-99v_90a
gaṅgādyāḥ saritas tathā | ParS_12.20b
gaṅgā patitapāvanī | Ang_1.908d
gaṅgāyāḥ sikatā dhārās | ViS_20.23a
gacchaṃś cāndrāyaṇaṃ caret | YajñS_3.287b
gacchaṃs tathājayonau tu | YamS-s_2.59a
gacchaṃs tu gurutalpagaḥ | YajñS_3.233b
gacchataḥ pṛṣṭhato 'nviyāt | Manu_4.154d
gacchataḥ svāminaḥ svāṅgair | BrhS_1.15.18a
gacchatastāvubhau mūḍhau | Ang_2.6.12c
gacchatāprasthitena tu | YamS-s_2.35d
gacchaty amaralokatām | Manu_2.5b
gacchaty ā saptamād yugāt | Manu_10.64d
gaccha devi janārdanam | ViS_1.31b
gacchantaṃ cānuyānena | ParS_1.44c
gacchan pūrvāt sa hīyate | BrhS_1.2.7d
gacchan pūrvāt sa hīyate | NarS_m1.49d
gacchan hīnāṃs tu varjayan | Manu_4.245b
gacchetāṃ vaiśyapārthivau | Manu_8.376b
gacchet paramayā śaktyā | BrhS_1.8.58c
gacchet samyagavijñāya | Kāty_010a
gacched bandhujanaṃ tataḥ | Kāty_910d
gacched vāpi digantaram | NarS_v1.148b
gacched vāvarṣmasaṃkṣayāt | YajñS_3.55d
gacchen musalam ādāya | ParS_12.78a
gajacchāyā tathā caikā | Ang_1.612a
gajacchāyā 'tra no bhavet | Ang_1.691b
gajacchāyā prakīrtitā | Ang_1.660b
gajavāsī manasvinī | Ang_1.931d
gajasya ca turaṅgasya | ParS_6.12a
gajādīnām aśaknuvan | YajñS_3.274b
gaje nīlavṛṣāḥ pañca | YajñS_3.271a
gaje vājini vā vyāghre | Ang_2.10.15a
gaṇaḥ saṃparikīrtitaḥ | Kāty_680b
gaṇakaḥ paścimā yas tu | BrhS_1.1.109c
gaṇakā vañcakāś caiva | BrhS_1.22.12c
gaṇako gaṇayed arthaṃ | BrhS_1.1.90a
gaṇadravyaṃ hared yas tu | YajñS_2.187a
gaṇadravyavināśakaḥ | Kāty_672b
gaṇadharmaviparyayāḥ | NarS_v18.2d
gaṇanākuśalair nṛbhiḥ | BrhS_1.10.55b
gaṇanākuśalau śucī | BrhS_1.1.81b
gaṇanāvañcakāś caiva | BrhS_1.27.7c
gaṇapāṣaṇḍapūgāś ca | Kāty_682a
gaṇapaurādikasthitiḥ | Kāty_254b
gaṇam uddiśya yat kiṃcit | Kāty_674a
gaṇavṛddhādayas tv anye | NarS_v11.8a
gaṇas tv adhikṛto nṛpaḥ | Kāty_082b
gaṇājñātaṃ niyuktakaiḥ | BrhS_1.1.94b
gaṇānāṃ śreṇivargāṇāṃ | Kāty_675a
gaṇānāṃ caiva yājakaḥ | Manu_3.164d
gaṇānām apy ayaṃ vidhiḥ | YajñS_2.192b
gaṇānām ādhipatye ca | YajñS_1.271c
gaṇān jānapadān api | YajñS_1.361b
gaṇānnaṃ gaṇikānnaṃ ca | Manu_4.209c
gaṇānnaṃ gaṇikānnaṃ ca | Manu_4.219c
gaṇānnaṃ gaṇikānnaṃ ca | ViS_48.21a
gaṇābhyantara eva ca | Manu_3.154d
gaṇārthe vā ṛṇaṃ kṛtam | BrhS_1.10.32d
gaṇārthe vā ṛṇaṃ kṛtam | Kāty_677b
gaṇārthe vā paṇaṃ kṛtam | BrhS_1.17.25b
gaṇāś cādhikṛto nṛpaḥ | NarS_m1.7b
gaṇās tv adhikṛto nṛpaḥ | BrhS_1.1.75b
gaṇikāgaṇadīkṣiṇām | YajñS_1.161d
gaṇimaṃ tulimaṃ meyaṃ | NarS_v8.3c
gaṇimānāṃ ca sarvaśaḥ | NarS_p19.32b
gaṇeśāyatanaṃ viduḥ | BrhS_1.8.26d
gaṇaiś ca śreṇy avijñātaṃ | BrhS_1.1.94a
gaṇḍūṣaṃ pādaśaucaṃ ca | ParS_7.24c
gaṇḍe nāsā ghanāsthikā | YajñS_3.89b
gatapratyāgatāpi vā | Manu_9.176b
gatapratyāgate caiva | Manu_7.186c
gatameva bhaviṣyati | Ang_1.35b
gatāḥ syur ye tu madhyatām | Kāty_675b
gatā badarikāśramam | ParS_1.5d
gatidā gaṇavāritā | Ang_1.929d
gatibhāṣitaceṣṭitam | Manu_2.199d
gatim asyāntarātmanaḥ | Manu_6.73d
gatim āhur manīṣiṇaḥ | Manu_12.50d
gatir ātmā tathātmanaḥ | Manu_8.84b
gatirūrdhvaṃ na vidyate | Ang_2.8.7d
gatir ūrdhvā na vidyate | ParS_12.34d
gatir eṣā vidhīyate | ParS_4.1d
gatis tvaṃ puruṣottama | ViS_1.58b
gatīḥ svenaiva cetasā | Manu_12.23b
gate tasmin nimagnāṅgaṃ | YajñS_2.109c
gate tasmin punastathā | Ang_1.103d
gate deyas tathaiva ca | BrhS_1.29.12b
gate 'nnaśrāddhamācaret | Ang_1.279b
gatopagamanād eva | YamS-s_2.62c
gatyā karmaphalena ca | YajñS_3.164b
gatvā kakṣāntaraṃ tv anyat | Manu_7.224a
gatvā cāndrāyaṇaṃ kuryāt | YamS-182v_2.1c
gatvā cāndrāyaṇaṃ caret | Manu_11.171d
gatvā caiva divā striyam | YajñS_3.290d
gatvā tu praviśed agniṃ | YamS-182v_3.7c
gatvā tu praviśed agniṃ | YamS-s_1.29c
gatvā nadītaṭe vipro | ParS_11.13c
gatvānṛṇyaṃ yathāvidhi | Manu_4.257b
gatvā puṃsāṃ śataṃ yāti | ParS_10.35a
gatvāraṇyaṃ samāhitaḥ | Manu_2.104d
gatvaitāṃś ca sagotrāṃ ca | YamS-s_1.31c
gatvaitāḥ praviśed agniṃ | YamS-99v_35c
gatvodakyāṃ viśudhyati | YajñS_3.287d
gadādharamaheśvarau | Ang_1.538d
gadgadeṣu jaḍeṣu ca | ParS_4.27b
gantavyaṃ vā tato 'nyataḥ | Manu_2.200d
gantrī vasumatī nāśam | YajñS_3.10a
gandhadravyairakāvetra | NarS_v1.60c
gandhadvāreti gomayam | ParS_11.32b
gandhadhānyaguḍādiṣu | YajñS_2.245b
gandham āghrāya somapaḥ | Manu_11.149b
gandhamādanasaṃsthasya | NarS_m2.16a
gandhamālyam adattaṃ tu | NarS_m2.35a
gandhamālyavivarjitam | Ang_2.8.11b
gandhamālyaiḥ samabhyarcya | BrhS_1.26.60c
gandhamālyaiḥ samarcayet | BrhS_1.8.86d
gandhamālyaiḥ surabhibhir | Manu_3.209c
gandhaṃ mālyaṃ rasān striyaḥ | Manu_2.177b
gandharūparasasparśa | YajñS_3.91a
gandharvaś ca śubhāṃ giram | YajñS_1.71b
gandharvā guhyakā yakṣā | Manu_12.47a
gandharvāpsaraso 'surān | Manu_1.37b
gandharvoragarakṣasām | Manu_3.196b
gandhalepakṣayakaraṃ | YajñS_1.17c
gandhavarṇarasānvitam | NarS_p20.35b
gandhavarṇarasānvitāḥ | Manu_5.128d
gandhāḥ puṣpaṃ dadhi kṣitiḥ | YajñS_1.214b
gandhākṣatayavādikam | Ang_1.801b
gandhākṣatasumādikam | Ang_1.794d
gandhānāṃ ca rasānāṃ ca | Manu_9.329c
gandhān chucchundarī śubhān | YajñS_3.213d
gandhāś ca balayaś caiva | YajñS_1.299a
gandhair maṇḍalakeṣu vā | YajñS_1.298b
gandhodakatilair yuktaṃ | YajñS_1.253a
gandho lepaś ca tatkṛtaḥ | Manu_5.126b
gandho lepaś ca tatkṛtaḥ | ViS_23.39b
gandho lepaś ca tiṣṭhati | Manu_4.111b
gandhauṣadhirasānāṃ ca | Manu_7.131c
gamanaṃ samakālikam | Kāty_443b
gamanād eva śūdrāyāṃ tv | YamS-s_2.63a
gamanīyatamo bhavet | Manu_7.174b
gamane tv āgamaḥ kāryaḥ | Kāty_443c
gamane saṃpramāpaṇam | BrhS_1.24.15d
gamayaty uttamaṃ gatim | Manu_5.42d
gamayaty uttamāṃ gatim | ViS_51.65d
gamyaṃ tv abhāve dātṝṇāṃ | YajñS_1.64c
gamyā api hi nopeyās | NarS_v12.78c
gamyāḥ syur ānulomyena | NarS_v12.77c
gamyāsv api pumān dāpyaḥ | YajñS_2.290c
gayasya sumahātmanaḥ | Ang_1.488d
gayāṃ yāsyati yaḥ kaścit | BrhS_1.26.89c
gayādipuṇyakṣetrāṇi | Ang_1.537c
gayāphalgunikāśāka | Ang_1.489a
gayāyāṃ ca mṛte 'hani | Ang_1.662d
gayāśīrṣe vaṭe śrāddhaṃ | ViS_85.70c
gayāśrāddhaṃ ca phalgunyāḥ | Ang_1.476a
gayāśrāddhamathāparam | Ang_1.480d
gayāśrāddhaśatādhikam | Ang_1.904d
gayāśrāddhaśatādhikāt | Ang_1.564b
gayāśrāddhasamaḥ ko 'pi | Ang_1.702a
gayāśrāddhasahasrakṛt | Ang_1.544d
gayo rāmo 'thavā śrīmān | Ang_1.494c
garadāgnidakīnāśa | NarS_v1.163c
garadūṣo gaṇatrigaḥ | Ang_1.526b
garīyasi garīyāṃsam | NarS_p19.42a
garīyān brahmadaḥ pitā | Manu_2.146b
garīyān brahmadaḥ pitā | ViS_30.44b
garīyo yad yad uttaram | Manu_2.136d
garīyo yad yad uttaram | ViS_32.16d
gargeyā gautamīyāś ca | ParS_1.13a
gartaprasravaṇeṣu ca | Manu_4.203d
gartānūpaṃ susekaṃ ca | BrhS_1.13.30a
garte deyaṃ tathaiva ca | Kāty_947b
gartocchiṣṭāmbusecanam | BrhS_1.19.49b
gardabhaṃ paśum ālabhya | YajñS_3.280c
gardabhena catuṣpathe | Manu_11.118b
gardhabhājāvikānāṃ tu | Manu_8.298a
garbhapātaṃ ca yā kuryān | ParS_4.19c
garbhabhartṛdruhāṃ caiva | Manu_5.90c
garbhabhartṛvadhādau ca | YajñS_1.72c
garbhavisraṃsinīṃ tathā | NarS_v12.92b
garbhasaṃsravaṇe māse | YamS-99v_76c
garbhasthaiḥ sadṛśo jñeya | NarS_v1.31a
garbhasya pātane steno | Kāty_806a
garbhasya vaikṛtaṃ dṛṣṭam | YajñS_3.163c
garbhasrāve māsatulyā | YajñS_3.20c
garbhasrāve viśudhyati | Manu_5.66b
garbhasrāve viśudhyati | YamS-99v_77b
garbhahā ca yathāvarṇaṃ | YajñS_3.251c
garbhāt tu dvādaśe viśaḥ | Manu_2.36d
garbhād ekādaśe rājño | Manu_2.36c
garbhādhānam ṛtau puṃsaḥ | YajñS_1.11a
garbhādhānavidhānataḥ | Ang_1.91d
garbhāṣṭame 'bde kurvīta | Manu_2.36a
garbhāṣṭame 'ṣṭame vābde | YajñS_1.14a
garbhiṇī tu dvimāsādis | Manu_8.407a
garbhiṇī bāla eva vā | Manu_9.283b
garbhiṇyāturakanyakāḥ | YajñS_1.105b
garbhe jāte parityāgo | YamS-182v_4.36c
garbhe tyāgo vidhīyate | YajñS_1.72b
garbhe retaḥ samanvite | YamS-99v_44b
garbhe vinnaḥ sahoḍhajaḥ | YajñS_2.131d
garbho doṣam avāpnuyāt | YajñS_3.79b
garbho 'pi saṃpated yadi | YamS-99v_42b
garbho bhūtveha jāyate | Manu_9.8b
garhaṇāṃ yāti sādhuṣu | Manu_2.80d
garhaṇāṃ yāti sādhuṣu | ViS_55.14d
garhaṇīyānyathā bhavet | YajñS_1.86d
garhitād vā pratigrahāt | Manu_10.103b
garhitānādyayor jagdhiḥ | Manu_11.56c
garhitānnāśanāsu ca | Manu_10.35b
garhitā śāstravedibhiḥ | BrhS_1.3.23b
garhyaḥ sa pāpo daṇḍyaś ca | Kāty_670c
garhyatām eti sā dhruvam | BrhS_1.25.9d
garhyate brahmavādibhiḥ | ViS_93.12b
garhyante brahmavādibhiḥ | Manu_4.199b
garhyā daṇḍyāś ca dharmataḥ | BrhS_1.5.47d
garhyā daṇḍyāś ca dharmataḥ | Kāty_402d
garhye kuryād ubhe kule | Manu_5.149d
gale baddhvāvalambayet | BrhS_1.22.21d
gale badhvāvalambayet | Brh_1.22.8b
gavatraṃ gomine deyaṃ | NarS_v11.34e
gavāṃ śataṃ saikavṛṣaṃ | ParS_12.49a
gavāṃ śatād vatsatarī | NarS_v6.11a
gavāṃ śṛṅgodakaiḥ snānaṃ | ParS_5.2a
gavāṃ saṃrakṣaṇārthāya | ParS_9.1a
gavāṃ hi tīrthe vasatīha gaṅgā | ViS_23.61a
gavākṣān noparodhayet | BrhS_1.19.47b
gavākṣān noparodhayet | Kāty_752b
gavāghrātaṃ khareṇa vā | ParS_6.71d
gavāghrātāni kāṃsyāni | ParS_7.23c
gavāṃ koṭipradānena | ParS_12.52c
gavāṃ grāsapradānena | ViS_23.60c
gavāṃ ghātam uttamam | YamS-182v_4.11b
gavā cānnam upaghrātaṃ | Manu_4.209a
gavāṃ ca paripālanam | ParS_1.63b
gavāṃ ca parivāsena | Manu_5.124c
gavāṃ ca yānaṃ pṛṣṭhena | Manu_4.72c
gavāṃ caivānugamanaṃ | ParS_12.81a
gavādigrahaṇaṃ ca yat | Kāty_720d
gavādiprāṇihiṃsanam | YamS-182v_5.6b
gavādiṣu praṇaṣṭeṣu | NarS_v14.21a
gavāṃ dvādaśakasya ca | YajñS_3.244b
gavāṃ nipātane caiva | YamS-99v_42a
gavām kaṇḍūyanaṃ caiva | ViS_23.60a
gavām pracāre gopālāḥ | BrhS_1.1.165a
gavāṃ pracāre gopālāḥ | NarS_m1.46a
gavāṃ bandhanayoktreṣu | ParS_8.1a
gavāṃ bhakṣye tathendhane | Manu_8.112b
gavāṃ bhukte tathendhane | BrhS_1.8.39b
gavāṃ madhye vased rātrau | ParS_8.31c
gavāṃ madhye vased rātrau | YamS-182v_4.15c
gavāṃ mūtrapurīṣeṇa | ParS_6.49a
gavāśaneṣu vikrīṇaṃs | ParS_9.36c
gavyaṃ ghṛtam upādāya | BrhS_1.8.73c
gavyameva bhaveddadhi | Ang_2.12.5b
gavyasya payaso 'lābhe | Ang_2.12.5a
gahanatvād vivādānām | NarS_m1.38a
gāṃ vipram ajam agniṃ vā | Manu_3.260c
gāṃ godhāgniṃ bakas tathā | YajñS_3.215b
gātraṃ ca kampate yasya | BrhS_1.8.71c
gātraṃ ca kampate yasya | Kāty_455c
gātrāṇi caiva sarvāṇi | Manu_4.143c
gātre mukhe ca praviśec ca samyak | YamS-78v_44c
gātrair gātrāṇy asaṃspṛśan | NarS_v12.81d
gātraiśca śirasā caiva | Ang_2.2.8c
gātrotsādanam eva ca | Manu_2.211b
gāṃ dattvā vidhivad guroḥ | Manu_3.95b
gāndharvaḥ sa tu vijñeyo | Manu_3.32c
gāndharvaḥ samayān mithaḥ | YajñS_1.61b
gāndharvaś cāsuras tathā | NarS_v12.39b
gāndharvo nāma pañcamam | NarS_v12.42b
gāndharvo rākṣasaś caiva | Manu_3.21c
gāndharvo rākṣasaś caiva | Manu_3.26c
gām ālabhya viśudhyati | Manu_11.202d
gām ālabhya viśudhyati | YamS-182v_3.9d
gām ālabhyārkam īkṣya vā | Manu_5.87d
gām ekāṃ brāhmaṇe dadan | ParS_10.15b
gāyakaṃ vraṇinaṃ kṣudra | Ang_1.757c
gāyatrīṃ vā vidhānataḥ | Ang_1.836b
gāyatrīṃ vedamātaram | Ang_1.201b
gāyatrīṃ vaiṣṇavīmapi | Ang_1.836d
gāyatrīṃ śirasā saha | ViS_55.9b
gāyatrīṃ śirasā sārdhaṃ | YajñS_1.23a
gāyatrīṃ sarvaśūnyadām | Ang_1.838d
gāyatrījapyanirataḥ | YajñS_3.289c
gāyatrīṃ japamānas tu | ParS_10.27a
gāyatrīdaśasāhasra | Ang_1.150c
gāyatrībrahmatattvajñāḥ | ParS_8.24c
gāyatrīṃ manasā sakṛt | YajñS_3.30d
gāyatrīrahito vipraḥ | ParS_8.24a
gāyatrīsmaraṇāc chuciḥ | ParS_6.23d
gāyatro harilocanaḥ | Ang_1.512d
gāyatryaṣṭasahasreṇa | ParS_11.17a
gāyatryāḥ pratyahaṃ japaḥ | YajñS_1.22d
gāyatryāḥ śodhanaṃ param | YamS-99v_9d
gāyatryā cābhimantrayet | YajñS_3.325d
gāyatryā cāyutatrayam | YamS-182v_4.38b
gāyatryādāya gomūtraṃ | ParS_11.32a
gāyatryādyaiś ca sāmabhiḥ | BrhS_1.8.82d
gāyatryā prokṣya tatparam | Ang_1.815d
gāyatryā prokṣya vai tataḥ | Ang_1.822d
gāyatryā vācanaṃ tathā | YajñS_3.309d
gāyatryā vā japo no cen | Ang_1.155c
gāyatryā vyāhṛtibhiś ca | YamS-182v_3.59a
gāyatryā śodhanaṃ param | YamS-182v_3.46d
gāyatryāś ca viśeṣataḥ | YajñS_3.308b
gāyanās tu samāṃśinaḥ | BrhS_1.13.37d
gāyanās tu samāṃśinaḥ | Kāty_636d
gāyanto vedapāragāḥ | ParS_6.35b
gārutmatā gatimatī | Ang_1.929c
gārbhair homair jātakarma | Manu_2.27a
gārhyo daṇḍyaś ca dharmataḥ | BrhS_1.25.4d
gālavastu purā vipro | Ang_1.556a
gāvaḥ kṣetraṃ samāśritāḥ | NarS_v11.31b
gāvaḥ pavitramaṅgalyaṃ | ViS_23.57c
gāvaḥ sarvāghasūdanāḥ | ViS_23.58b
gāvayaṃ saupratīkaṃ ca | ParS_11.42c
gāvo dūrapracāreṇa | YamS-182v_4.60a
gāvo mriyante yadi tā adagdhāḥ | YamS-s_1.54b
gāvo yenābhighātitāḥ | ParS_9.17b
gāvo vitanvate yjñaṃ | ViS_23.58a
gāścaivānuvrajennityaṃ | Ang_2.11.4a
gāś caivaikaśataṃ dadyāc | ParS_12.73c
giridurgaṃ viśiṣyate | Manu_7.71d
giridurgaṃ samāśrayet | Manu_7.71b
giripṛṣṭhaṃ samāruhya | Manu_7.147a
girīśaś ca mahāyaśāḥ | BrhS_1.8.22f
giry agrāt patito 'pi vā | NarS_v11.32d
gītajño yadi yogena | YajñS_3.116a
gītanṛtyaiś ca bhuñjīta | YajñS_1.330c
gugguluṃ cāpsu nikṣipet | YajñS_1.279d
gucchagulmaṃ tu vividhaṃ | Manu_1.48a
guḍapiṣṭaṃ samodakam | YajñS_1.289b
guḍamudgādikān madhu | Ang_1.1013b
guḍasya lavaṇasya ca | BrhS_1.10.19d
guḍasya lavaṇasya ca | Kāty_511d
guḍasya lavaṇasya ca | NarS_v1.95d
guḍe madhuni caivoktā | BrhS_1.10.18e
guḍo rasastathodaśvid | Ang_2.8.17a
guḍaudanaṃ pāyasaṃ ca | YajñS_1.304a
guṇadoṣaparīkṣaṇam | Manu_1.117d
guṇadoṣavicakṣaṇam | Manu_9.169b
guṇadoṣau ca karmaṇām | Manu_1.107b
guṇadoṣau ca tattvataḥ | Manu_7.178d
guṇadoṣau ca yasya yau | Manu_3.22b
guṇadoṣau vijānatā | Manu_2.212d
guṇadoṣau vijānatā | ViS_32.13d
guṇadharmān ato rājñaḥ | BrhS_1.1.5a
guṇavatsarvakāmīyaṃ | ViS_77.9c
guṇavāñ śūdrayonijaḥ | BrhS_1.26.125b
guṇavān iti yaḥ proktaḥ | BrhS_1.1.36a
guṇahīnasya pāruṣye | BrhS_1.20.9c
guṇahīnasya pāruṣye | BrhS_1.20.13c
guṇahīnāya karhi cit | Manu_9.89d
guṇāṃś ca sūpaśākādyān | Manu_3.226a
guṇāḍhyā guṇadā śeṣā | Ang_1.930a
guṇādhikasya dattā vā | BrhS_1.19.30c
guṇānāṃ yaḥ phalodayaḥ | Manu_12.30b
guṇānāṃ triṣu tiṣṭhatām | Manu_12.34b
guṇān sarvān pracodayan | Manu_3.228d
guṇāpekṣaṃ bhaved dānam | NarS_v12.29c
guṇās tasyaiva kīrtitāḥ | YajñS_3.182b
guṇidvaidhe kriyāyuktās | BrhS_1.5.46c
guṇidvaidhe tu vacanaṃ | YajñS_2.78c
guṇidvaidhe dvijottamān | Manu_8.73d
guṇidvaidhe dvijottamān | ViS_8.40d
guṇair vā parivarjitaḥ | Manu_5.154b
guṇaiś ca paricodayet | Manu_3.233d
guptaṃ sarvartukaṃ śubhraṃ | Manu_7.76c
guptaṃ sarveṇa hīyate | Manu_8.374d
guptāṃ viprāṃ balād vrajan | Manu_8.378b
guptāṃ tāṃ vāsayed gṛhe | BrhS_1.24.18b
guptyarthaṃ sa mahādyutiḥ | Manu_1.87b
gurave tu varaṃ dattvā | YajñS_1.51a
gurave prītim āvahet | Manu_2.246d
guruācāryanṛpādīnāṃ | Kāty_756c
guruṃ vā bālavṛddhau vā | Manu_8.350a
guruṃ vā bālavṛddhau vā | ViS_5.190a
guruṃ huṃkṛtya tvaṃkṛtya | YajñS_3.291a
gurukāryeṣu daṇḍaḥ syān | Kāty_101c
gurukāryeṣu daṇḍyaḥ syātn | BrhS_1.1.148e
gurukāryeṣv akopayan | BrhS_1.1.157d
guruṃ caivāpy upāsīta | YajñS_1.26c
guruṃ jyotirvidaṃ vaidyān | Kāty_053c
guruṇānumataḥ snātvā | Manu_3.4a
